Date,Symbol,Type,Close,Return_Pct,Z_Score,Severity
2010-02-17,ADANIPORTS,Volume Spike,682.1,7.38,3.94,Medium
2010-02-18,ADANIPORTS,Volume Spike,668.15,-2.05,4.06,Medium
2010-04-01,ADANIPORTS,Volume Spike,751.45,-4.83,10.04,High
2010-07-16,ADANIPORTS,Volume Spike,754.8,1.08,6.73,High
2010-08-17,ADANIPORTS,Volume Spike,790.5,-0.4,3.1,Medium
2010-09-23,ADANIPORTS,Return Crash,165.6,-80.22,-7.53,High
2010-09-24,ADANIPORTS,Volume Spike,162.85,-1.66,3.7,Medium
2010-09-28,ADANIPORTS,Volume Spike,170.8,2.34,3.47,Medium
2010-09-30,ADANIPORTS,Volume Spike,167.65,-0.39,3.42,Medium
2010-10-06,ADANIPORTS,Volume Spike,179.9,5.76,3.99,Medium
2010-11-26,ADANIPORTS,Volume Spike,141.3,1.62,3.83,Medium
2011-01-05,ADANIPORTS,Volume Spike,157.6,6.09,3.85,Medium
2011-05-31,ADANIPORTS,Volume Spike,161.45,3.76,6.34,High
2011-07-29,ADANIPORTS,Return Crash,143.55,-7.36,-3.66,Medium
2011-07-29,ADANIPORTS,Volume Spike,143.55,-7.36,4.71,Medium
2011-08-01,ADANIPORTS,Volume Spike,145.1,1.08,3.09,Medium
2011-08-05,ADANIPORTS,Volume Spike,139.75,1.16,5.07,High
2011-08-24,ADANIPORTS,Return Spike,146.8,6.03,3.06,Medium
2011-11-16,ADANIPORTS,Volume Spike,132.55,-8.33,3.44,Medium
2011-11-25,ADANIPORTS,Volume Spike,123.35,4.8,3.06,Medium
2012-03-09,ADANIPORTS,Volume Spike,135.0,-7.06,5.0,High
2012-03-12,ADANIPORTS,Volume Spike,129.9,-3.78,4.23,Medium
2012-03-13,ADANIPORTS,Volume Spike,131.1,0.92,3.34,Medium
2012-08-01,ADANIPORTS,Volume Spike,120.9,0.37,5.02,High
2012-08-23,ADANIPORTS,Volume Spike,110.8,-4.93,3.66,Medium
2012-12-04,ADANIPORTS,Volume Spike,134.4,1.63,3.41,Medium
2012-12-06,ADANIPORTS,Volume Spike,135.05,1.01,3.04,Medium
2013-01-28,ADANIPORTS,Volume Spike,136.75,4.95,5.24,High
2013-01-29,ADANIPORTS,Volume Spike,145.8,6.62,8.67,High
2013-01-30,ADANIPORTS,Volume Spike,142.65,-2.16,3.86,Medium
2013-05-16,ADANIPORTS,Volume Spike,162.0,6.23,5.05,High
2013-05-17,ADANIPORTS,Volume Spike,168.25,3.86,4.46,Medium
2013-05-20,ADANIPORTS,Volume Spike,167.6,-0.39,3.29,Medium
2013-07-31,ADANIPORTS,Volume Spike,125.25,-7.7,3.91,Medium
2013-07-31,ADANIPORTS,Return Crash,125.25,-7.7,-3.44,Medium
2013-08-01,ADANIPORTS,Return Spike,140.95,12.53,4.64,High
2013-08-01,ADANIPORTS,Volume Spike,140.95,12.53,4.02,Medium
2013-08-02,ADANIPORTS,Return Crash,125.25,-11.14,-3.54,Medium
2013-10-11,ADANIPORTS,Volume Spike,150.4,3.16,3.28,Medium
2014-02-07,ADANIPORTS,Volume Spike,147.5,0.75,3.72,Medium
2014-04-10,ADANIPORTS,Volume Spike,193.0,5.21,5.58,High
2014-05-13,ADANIPORTS,Volume Spike,224.5,9.73,3.04,Medium
2014-05-13,ADANIPORTS,Return Spike,224.5,9.73,3.38,Medium
2014-07-02,ADANIPORTS,Volume Spike,271.25,11.08,5.8,High
2014-07-02,ADANIPORTS,Return Spike,271.25,11.08,3.01,Medium
2014-12-30,ADANIPORTS,Volume Spike,316.0,7.81,3.36,Medium
2014-12-30,ADANIPORTS,Return Spike,316.0,7.81,3.0,Medium
2015-05-04,ADANIPORTS,Volume Spike,347.2,9.34,3.1,Medium
2015-05-04,ADANIPORTS,Return Spike,347.2,9.34,3.69,Medium
2015-06-03,ADANIPORTS,Volume Spike,297.25,-3.85,6.57,High
2015-08-14,ADANIPORTS,Volume Spike,363.75,8.68,4.26,Medium
2015-08-14,ADANIPORTS,Return Spike,363.75,8.68,3.7,Medium
2015-08-24,ADANIPORTS,Return Crash,334.6,-8.34,-3.44,Medium
2015-08-27,ADANIPORTS,Volume Spike,356.55,2.5,3.04,Medium
2015-08-31,ADANIPORTS,Volume Spike,355.45,-1.99,4.8,Medium
2015-12-14,ADANIPORTS,Return Spike,254.55,5.56,3.12,Medium
2016-01-19,ADANIPORTS,Return Spike,232.85,6.18,3.41,Medium
2016-01-28,ADANIPORTS,Volume Spike,210.85,-2.09,3.09,Medium
2016-02-11,ADANIPORTS,Return Crash,186.85,-7.89,-3.09,Medium
2016-05-04,ADANIPORTS,Return Crash,208.25,-11.57,-3.55,Medium
2016-05-04,ADANIPORTS,Volume Spike,208.25,-11.57,4.83,Medium
2016-05-05,ADANIPORTS,Volume Spike,198.0,-4.92,3.13,Medium
2016-08-10,ADANIPORTS,Volume Spike,258.45,7.8,4.1,Medium
2016-08-10,ADANIPORTS,Return Spike,258.45,7.8,3.29,Medium
2016-10-25,ADANIPORTS,Return Spike,312.8,9.5,3.19,Medium
2016-10-25,ADANIPORTS,Volume Spike,312.8,9.5,3.9,Medium
2017-05-23,ADANIPORTS,Return Crash,331.65,-6.43,-3.11,Medium
2018-03-07,ADANIPORTS,Return Crash,376.95,-6.98,-3.83,Medium
2018-03-08,ADANIPORTS,Volume Spike,387.95,2.92,3.5,Medium
2018-05-31,ADANIPORTS,Volume Spike,392.15,4.74,3.72,Medium
2018-06-28,ADANIPORTS,Volume Spike,361.8,0.19,3.01,Medium
2018-08-07,ADANIPORTS,Return Crash,372.3,-6.3,-3.56,Medium
2018-08-07,ADANIPORTS,Volume Spike,372.3,-6.3,3.53,Medium
2018-10-29,ADANIPORTS,Return Spike,326.4,7.33,3.17,Medium
2019-01-28,ADANIPORTS,Return Crash,326.1,-12.77,-5.07,High
2019-01-28,ADANIPORTS,Volume Spike,326.1,-12.77,5.01,High
2019-02-13,ADANIPORTS,Volume Spike,341.65,4.54,3.07,Medium
2019-02-25,ADANIPORTS,Volume Spike,324.55,-8.4,3.29,Medium
2019-05-20,ADANIPORTS,Volume Spike,400.1,8.99,3.88,Medium
2019-05-20,ADANIPORTS,Return Spike,400.1,8.99,3.9,Medium
2019-05-23,ADANIPORTS,Volume Spike,407.55,5.6,5.4,High
2019-05-28,ADANIPORTS,Volume Spike,412.65,0.06,3.34,Medium
2019-08-26,ADANIPORTS,Return Spike,368.2,5.4,3.34,Medium
2019-09-20,ADANIPORTS,Return Spike,380.7,5.19,3.02,Medium
2019-09-23,ADANIPORTS,Return Spike,410.95,7.95,3.88,Medium
2019-11-29,ADANIPORTS,Volume Spike,382.05,2.54,6.86,High
2020-03-09,ADANIPORTS,Return Crash,321.9,-5.71,-3.62,Medium
2020-03-12,ADANIPORTS,Volume Spike,287.65,-10.17,3.18,Medium
2020-03-12,ADANIPORTS,Return Crash,287.65,-10.17,-4.99,High
2020-03-13,ADANIPORTS,Volume Spike,292.75,1.77,5.18,High
2020-03-16,ADANIPORTS,Return Crash,261.4,-10.71,-4.28,Medium
2020-03-23,ADANIPORTS,Return Crash,207.8,-18.95,-5.35,High
2020-03-24,ADANIPORTS,Return Spike,231.75,11.53,3.27,Medium
2020-08-31,ADANIPORTS,Volume Spike,355.75,-1.19,3.8,Medium
2020-11-04,ADANIPORTS,Volume Spike,361.1,2.11,3.38,Medium
2021-04-06,ADANIPORTS,Return Spike,835.55,12.57,3.92,Medium
2021-04-06,ADANIPORTS,Volume Spike,835.55,12.57,3.89,Medium
2021-04-07,ADANIPORTS,Volume Spike,814.75,-2.49,4.75,Medium
2021-04-12,ADANIPORTS,Return Crash,744.65,-9.59,-3.15,Medium
2010-02-05,ASIANPAINT,Volume Spike,1936.25,0.94,4.48,Medium
2010-02-25,ASIANPAINT,Volume Spike,1765.35,0.22,3.44,Medium
2010-03-03,ASIANPAINT,Return Spike,1981.2,5.95,3.09,Medium
2010-03-18,ASIANPAINT,Volume Spike,1994.6,1.28,3.5,Medium
2010-04-28,ASIANPAINT,Volume Spike,2089.55,1.28,3.29,Medium
2010-06-25,ASIANPAINT,Volume Spike,2399.45,-2.46,3.6,Medium
2010-07-12,ASIANPAINT,Volume Spike,2359.5,-1.04,3.46,Medium
2010-07-21,ASIANPAINT,Volume Spike,2479.55,0.03,5.46,High
2010-07-28,ASIANPAINT,Return Spike,2586.15,6.06,3.41,Medium
2010-08-17,ASIANPAINT,Volume Spike,2631.1,-0.38,4.27,Medium
2010-09-07,ASIANPAINT,Volume Spike,2853.95,0.15,3.31,Medium
2010-10-27,ASIANPAINT,Volume Spike,2502.6,-3.45,3.44,Medium
2010-10-28,ASIANPAINT,Return Spike,2648.45,5.83,4.04,Medium
2010-12-21,ASIANPAINT,Return Spike,2916.2,5.48,3.02,Medium
2011-01-17,ASIANPAINT,Volume Spike,2662.85,-2.31,3.25,Medium
2011-01-18,ASIANPAINT,Volume Spike,2654.75,-0.3,3.82,Medium
2011-01-28,ASIANPAINT,Volume Spike,2579.1,-0.81,3.17,Medium
2011-03-01,ASIANPAINT,Return Spike,2532.8,5.5,3.22,Medium
2011-05-11,ASIANPAINT,Volume Spike,2672.1,-0.7,3.07,Medium
2011-05-31,ASIANPAINT,Volume Spike,3133.4,1.66,7.52,High
2011-10-21,ASIANPAINT,Return Crash,3015.5,-4.48,-3.32,Medium
2011-10-28,ASIANPAINT,Volume Spike,3061.2,-0.27,3.79,Medium
2012-01-06,ASIANPAINT,Volume Spike,2660.6,-0.42,5.27,High
2012-01-25,ASIANPAINT,Volume Spike,2848.45,1.57,3.71,Medium
2012-03-19,ASIANPAINT,Return Crash,3073.15,-4.27,-3.09,Medium
2012-04-26,ASIANPAINT,Volume Spike,3482.0,1.74,3.87,Medium
2012-05-31,ASIANPAINT,Volume Spike,4021.55,5.37,3.76,Medium
2012-05-31,ASIANPAINT,Return Spike,4021.55,5.37,3.11,Medium
2012-06-01,ASIANPAINT,Return Crash,3779.8,-6.01,-3.56,Medium
2012-07-20,ASIANPAINT,Volume Spike,3717.25,2.71,4.13,Medium
2012-11-06,ASIANPAINT,Return Spike,4095.35,3.5,3.18,Medium
2012-11-29,ASIANPAINT,Return Spike,4319.8,4.75,3.52,Medium
2012-11-29,ASIANPAINT,Volume Spike,4319.8,4.75,3.19,Medium
2012-11-30,ASIANPAINT,Volume Spike,4330.35,0.24,3.14,Medium
2013-01-22,ASIANPAINT,Volume Spike,4413.05,2.92,3.01,Medium
2013-03-15,ASIANPAINT,Volume Spike,5007.3,2.26,3.3,Medium
2013-05-09,ASIANPAINT,Volume Spike,4670.95,-3.76,3.04,Medium
2013-07-30,ASIANPAINT,Return Crash,510.75,-90.02,-7.55,High
2013-07-30,ASIANPAINT,Volume Spike,510.75,-90.02,6.84,High
2013-07-31,ASIANPAINT,Volume Spike,507.6,-0.62,4.76,Medium
2013-08-01,ASIANPAINT,Volume Spike,498.2,-1.85,4.03,Medium
2013-08-02,ASIANPAINT,Volume Spike,497.45,-0.15,3.85,Medium
2013-08-05,ASIANPAINT,Volume Spike,472.8,-4.96,5.15,High
2013-08-06,ASIANPAINT,Volume Spike,437.35,-7.5,3.66,Medium
2013-08-07,ASIANPAINT,Volume Spike,423.2,-3.24,4.59,Medium
2013-10-21,ASIANPAINT,Volume Spike,515.8,5.94,3.01,Medium
2014-05-15,ASIANPAINT,Return Crash,529.05,-5.0,-3.09,Medium
2014-06-09,ASIANPAINT,Volume Spike,528.1,4.5,3.21,Medium
2014-11-14,ASIANPAINT,Volume Spike,672.2,4.25,3.33,Medium
2014-12-01,ASIANPAINT,Return Spike,797.05,7.03,3.35,Medium
2015-05-18,ASIANPAINT,Volume Spike,766.75,-2.98,4.12,Medium
2015-07-21,ASIANPAINT,Volume Spike,816.05,-4.25,3.15,Medium
2016-07-28,ASIANPAINT,Return Spike,1128.0,6.23,4.09,Medium
2016-07-28,ASIANPAINT,Volume Spike,1128.0,6.23,5.37,High
2016-10-25,ASIANPAINT,Volume Spike,1139.75,1.09,3.28,Medium
2016-11-15,ASIANPAINT,Volume Spike,890.8,-7.43,3.51,Medium
2016-11-15,ASIANPAINT,Return Crash,890.8,-7.43,-3.86,Medium
2017-02-22,ASIANPAINT,Volume Spike,1020.3,2.9,3.02,Medium
2017-03-14,ASIANPAINT,Return Spike,1071.4,3.99,3.11,Medium
2017-07-25,ASIANPAINT,Volume Spike,1150.1,-0.49,3.18,Medium
2017-09-01,ASIANPAINT,Return Spike,1215.9,4.05,3.78,Medium
2017-10-24,ASIANPAINT,Return Spike,1222.9,4.15,3.21,Medium
2017-10-24,ASIANPAINT,Volume Spike,1222.9,4.15,3.05,Medium
2018-05-11,ASIANPAINT,Volume Spike,1286.45,5.65,4.77,Medium
2018-05-11,ASIANPAINT,Return Spike,1286.45,5.65,4.06,Medium
