Symbol,Model,Train_Rows,Test_Rows,Accuracy,Precision,Recall,F1,MAE_5d,RMSE_5d,R2_5d
MM,rf,2100,526,50.0,50.0,78.71,61.15,4.8143,6.7302,-0.2497
BHARTIARTL,rf,2198,550,52.0,64.06,14.54,23.7,3.9299,5.1883,-0.14
GRASIM,rf,2198,550,48.36,50.53,66.67,57.49,4.6479,5.9139,-0.2794
SBILIFE,rf,656,164,53.66,58.46,43.68,50.0,3.3273,4.0235,-0.7495
KOTAKBANK,rf,2198,550,51.64,55.77,30.63,39.55,12.1042,14.2091,-7.3804
HINDUNILVR,rf,2198,550,49.82,47.95,30.48,37.27,2.6533,3.7734,-0.1023
BRITANNIA,rf,2198,550,50.0,46.33,57.54,51.33,3.0288,4.287,0.0064
AXISBANK,rf,2198,550,50.36,51.32,55.52,53.33,4.3413,6.7123,-0.0481
ADANIPORTS,rf,2198,550,47.82,49.8,44.41,46.95,4.3085,5.729,-0.1786
HDFCBANK,rf,2198,550,50.36,52.04,40.78,45.73,4.4657,7.7287,-0.5705
RELIANCE,rf,2198,550,50.73,51.55,36.1,42.46,8.3996,10.8355,-3.5521
UPL,rf,2198,550,48.0,50.17,52.96,51.53,4.729,7.2554,-0.0899
CIPLA,rf,2198,550,52.36,48.84,40.86,44.49,3.6471,5.3422,-0.2022
POWERGRID,rf,2198,550,52.18,50.73,52.06,51.39,2.9431,4.0188,-0.0098
TITAN,rf,2198,550,52.36,55.43,66.11,60.3,3.9135,5.3515,-0.1575
ONGC,rf,2198,550,48.18,48.15,27.96,35.37,4.5224,6.1899,-0.0796
NTPC,rf,2198,550,48.18,47.36,89.96,62.05,7.7186,9.2662,-2.7611
SUNPHARMA,rf,2198,550,51.82,51.87,64.75,57.6,3.4545,4.9372,-0.0508
SBIN,rf,2198,550,50.91,54.68,38.41,45.12,4.6855,6.4234,-0.016
HINDALCO,rf,2198,550,49.64,52.85,22.89,31.94,5.1779,7.0059,-0.1345
COALINDIA,rf,2028,508,50.39,48.12,52.89,50.39,4.3033,5.4266,-0.0899
BAJAJFINSV,rf,2198,550,48.36,49.09,28.83,36.32,5.1794,7.1215,-0.2278
HEROMOTOCO,rf,2198,550,53.27,54.74,45.52,49.71,4.0107,5.2434,-0.1901
ULTRACEMCO,rf,2198,550,51.27,55.24,27.92,37.09,3.7726,5.0524,-0.2686
LT,rf,2198,550,51.09,50.17,54.81,52.39,3.6862,5.2016,-0.1014
BAJFINANCE,rf,2198,550,53.27,54.42,70.0,61.24,4.6239,6.8867,-0.0093
WIPRO,rf,2198,550,53.64,53.18,88.07,66.31,3.733,5.739,-0.1
EICHERMOT,rf,2198,550,49.09,51.59,61.17,55.97,5.2152,10.202,-0.0187
BPCL,rf,2198,550,51.64,50.16,57.68,53.66,4.8494,6.6409,-0.092
TCS,rf,2198,550,52.55,53.82,57.04,55.38,2.7041,3.8138,-0.0396
BAJAJ-AUTO,rf,2198,550,51.82,55.19,40.77,46.89,3.776,5.2846,-0.5634
ICICIBANK,rf,2198,550,49.82,55.86,21.45,31.0,4.0727,5.6936,-0.0325
TATACONSUM,rf,2198,550,49.82,52.98,31.12,39.21,5.1218,7.8727,-1.1579
TATAMOTORS,rf,2198,550,52.73,51.6,88.0,65.05,7.2508,9.6053,-0.1523
INDUSINDBK,rf,2198,550,49.27,46.27,45.38,45.83,6.4634,9.7252,-0.0001
HCLTECH,rf,2198,550,50.18,51.31,69.01,58.86,3.6635,6.5928,-0.0566
ITC,rf,2198,550,48.91,47.09,68.73,55.89,3.3571,4.5802,-0.131
MARUTI,rf,2198,550,52.18,51.57,48.34,49.9,3.6995,5.0639,0.0498
SHREECEM,rf,2198,550,52.55,63.79,13.36,22.09,4.5536,5.7123,-0.4924
TECHM,rf,2198,550,52.18,53.92,59.72,56.67,3.228,4.4667,-0.0899
TATASTEEL,rf,2198,550,49.64,51.89,52.43,52.16,4.8997,6.4113,-0.1156
IOC,rf,2198,550,48.73,47.68,91.12,62.6,3.8402,4.9449,-0.0645
HDFCLIFE,rf,630,158,49.37,51.47,42.68,46.67,2.7795,3.4792,-0.3662
DIVISLAB,rf,2198,550,49.09,53.7,46.15,49.64,9.6815,12.7175,-7.3332
JSWSTEEL,rf,2198,550,51.45,54.98,54.05,54.51,4.7878,6.6222,-0.1097
HDFC,rf,2198,550,52.18,54.33,54.51,54.42,3.5919,4.8721,-0.0571
INFY,rf,2198,550,55.82,56.91,72.54,63.79,3.1499,4.7843,-0.0795
ASIANPAINT,rf,2198,550,51.27,56.46,40.0,46.83,3.2965,4.5315,-0.262
NESTLEIND,rf,2195,549,50.09,49.85,61.9,55.23,2.6955,3.8075,-0.11
DRREDDY,rf,2198,550,51.27,51.2,61.59,55.92,4.5995,6.1342,-0.9803
