Symbol,Ann_Return,Ann_Volatility,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown,Calmar_Ratio,VaR_95,CVaR_95,Skewness,Kurtosis,Rolling_Vol_60d,Pct_Above_MA200,Sector,Name,Risk_Tier
BAJAJFINSV,44.98,35.96,0.867,1.606,-58.59,0.768,-2.97,-4.7,0.198,11.975,44.67,73.23,Financial Services,Bajaj Finserv,High
BAJFINANCE,55.51,45.99,0.83,1.076,-93.28,0.595,-3.23,-5.68,-10.689,331.986,44.23,72.34,Financial Services,Bajaj Finance,High
SHREECEM,32.4,29.33,0.753,1.453,-36.9,0.878,-2.67,-3.79,0.301,2.072,40.7,68.01,Cement & Construction,Shree Cement,Medium
HINDUNILVR,25.21,24.26,0.68,1.352,-25.12,1.004,-2.13,-2.97,1.286,11.551,23.56,73.05,Consumer Goods,HUL,Medium
NESTLEIND,21.85,24.21,0.569,1.023,-32.4,0.674,-2.15,-3.21,0.433,4.698,20.56,71.52,Consumer Goods,Nestle India,Medium
HDFCLIFE,29.04,34.75,0.561,0.945,-46.19,0.629,-2.82,-4.67,-0.033,10.21,28.59,49.12,Financial Services,HDFC Life,Medium
EICHERMOT,34.75,43.68,0.546,0.672,-93.82,0.37,-2.98,-4.93,-12.078,409.04,31.15,65.16,Automobile,Eicher Motors,High
ULTRACEMCO,22.99,28.04,0.524,0.912,-37.66,0.611,-2.65,-3.78,0.101,4.512,37.55,64.81,Cement & Construction,UltraTech Cement,Medium
DIVISLAB,25.1,33.55,0.489,0.631,-77.65,0.323,-2.53,-4.27,-4.974,118.306,26.71,67.72,Pharmaceuticals,Divi's Labs,Medium
INDUSINDBK,28.45,40.8,0.467,0.767,-85.11,0.334,-3.4,-5.5,1.448,41.711,52.38,65.41,Banking,IndusInd Bank,High
DRREDDY,18.68,26.89,0.414,0.682,-56.46,0.331,-2.49,-3.73,0.066,6.608,30.04,62.28,Pharmaceuticals,Dr. Reddy's,Medium
TITAN,27.19,44.48,0.406,0.457,-96.69,0.281,-2.99,-5.27,-13.568,466.417,29.04,62.67,Consumer Goods,Titan,High
TCS,19.31,30.09,0.388,0.489,-54.59,0.354,-2.44,-3.85,-6.596,180.489,25.2,66.05,Information Technology,TCS,Medium
MARUTI,18.69,29.53,0.377,0.625,-59.2,0.316,-2.57,-4.04,0.085,7.707,26.91,61.57,Automobile,Maruti Suzuki,Medium
ASIANPAINT,21.04,37.46,0.35,0.362,-92.48,0.227,-2.37,-4.04,-19.773,755.237,30.59,71.81,Consumer Goods,Asian Paints,High
UPL,20.57,38.6,0.329,0.525,-75.39,0.273,-3.52,-5.3,-0.405,14.07,45.61,51.48,Agriculture,UPL,High
BRITANNIA,19.72,38.13,0.315,0.33,-85.36,0.231,-2.27,-4.22,-14.684,444.652,20.8,65.52,Consumer Goods,Britannia,High
HCLTECH,17.1,36.26,0.27,0.304,-80.36,0.213,-2.73,-4.76,-7.8,173.279,27.66,65.13,Information Technology,HCL Tech,High
ADANIPORTS,18.54,45.01,0.245,0.299,-87.27,0.212,-3.48,-5.76,-8.072,229.354,50.48,53.61,Infrastructure,Adani Ports,High
CIPLA,13.17,26.46,0.241,0.437,-49.34,0.267,-2.37,-3.43,0.526,4.223,27.35,53.5,Pharmaceuticals,Cipla,Medium
HINDALCO,16.89,41.1,0.234,0.417,-75.77,0.223,-3.98,-5.49,0.142,2.476,46.88,43.58,Metals,Hindalco,High
JSWSTEEL,18.55,47.33,0.233,0.275,-92.45,0.201,-3.75,-5.9,-9.778,297.439,45.81,47.88,Metals,JSW Steel,High
KOTAKBANK,15.29,35.64,0.231,0.266,-61.39,0.249,-2.81,-4.64,-7.316,162.193,33.57,67.61,Banking,Kotak Bank,High
SBILIFE,13.66,31.65,0.215,0.309,-46.84,0.292,-2.89,-4.69,-0.585,8.989,28.75,44.86,Financial Services,SBI Life,Medium
BAJAJ-AUTO,13.16,30.37,0.21,0.264,-59.92,0.22,-2.39,-3.88,-6.526,176.718,28.26,58.76,Automobile,Bajaj Auto,Medium
TATACONSUM,15.97,42.79,0.206,0.23,-93.25,0.171,-3.0,-5.04,-13.078,439.43,25.84,53.71,Consumer Goods,Tata Consumer,High
RELIANCE,12.03,32.31,0.166,0.217,-52.68,0.228,-2.6,-4.11,-5.154,135.753,27.86,57.84,Energy,Reliance,Medium
TATASTEEL,12.02,37.36,0.143,0.25,-71.84,0.167,-3.71,-5.06,0.138,2.17,46.3,42.48,Metals,Tata Steel,High
POWERGRID,9.21,23.6,0.119,0.203,-36.2,0.254,-2.24,-3.18,-0.095,3.756,39.04,51.51,Energy,Power Grid,Medium
BHARTIARTL,10.38,32.91,0.118,0.215,-47.47,0.219,-3.09,-4.33,0.361,2.739,28.58,55.42,Telecom,Bharti Airtel,Medium
AXISBANK,11.69,43.68,0.116,0.136,-85.02,0.137,-3.36,-5.47,-8.908,260.505,39.77,46.18,Banking,Axis Bank,High
HDFC,10.88,37.46,0.116,0.127,-81.09,0.134,-2.72,-4.49,-13.544,455.605,37.92,62.71,Financial Services,HDFC Ltd,High
HDFCBANK,10.59,36.88,0.11,0.108,-84.18,0.126,-2.12,-4.07,-17.953,572.502,34.96,68.01,Banking,HDFC Bank,High
TECHM,10.59,38.31,0.106,0.119,-87.12,0.122,-2.83,-4.89,-11.024,341.691,29.05,56.88,Information Technology,Tech Mahindra,High
HEROMOTOCO,9.18,29.49,0.095,0.166,-61.63,0.149,-2.7,-4.02,0.537,6.57,31.4,47.99,Automobile,Hero MotoCorp,Medium
ICICIBANK,10.24,42.1,0.089,0.107,-89.8,0.114,-3.28,-5.09,-9.568,293.113,44.99,55.35,Banking,ICICI Bank,High
TATAMOTORS,7.46,48.71,0.025,0.034,-95.22,0.078,-3.87,-6.24,-6.286,173.457,56.4,44.79,Automobile,Tata Motors,High
BPCL,7.06,42.97,0.019,0.026,-77.31,0.091,-3.16,-5.76,-5.443,99.569,32.18,44.29,Energy,BPCL,High
GRASIM,6.5,38.27,0.008,0.012,-92.43,0.07,-2.59,-4.6,-13.148,426.196,32.76,47.88,Cement & Construction,Grasim,High
SUNPHARMA,6.15,41.15,-0.001,0.003,-86.06,0.071,-2.73,-5.05,-12.954,368.478,25.11,45.68,Pharmaceuticals,Sun Pharma,High
INFY,3.31,38.18,-0.072,-0.063,-87.94,0.038,-2.32,-4.97,-9.768,200.967,21.61,41.66,Information Technology,Infosys,High
ITC,3.69,31.19,-0.076,-0.075,-63.16,0.058,-2.31,-4.15,-7.668,181.965,30.02,50.02,Consumer Goods,ITC,Medium
WIPRO,3.53,33.44,-0.076,-0.072,-78.28,0.045,-2.53,-4.45,-7.684,171.014,33.0,38.61,Information Technology,Wipro,Medium
LT,3.55,32.63,-0.077,-0.092,-68.04,0.052,-2.79,-4.42,-2.54,45.021,34.55,45.22,Infrastructure,L&T,Medium
SBIN,1.73,44.13,-0.097,-0.098,-95.68,0.018,-3.37,-5.28,-11.543,390.337,48.52,44.61,Banking,State Bank of India,High
MM,2.32,37.49,-0.099,-0.101,-82.72,0.028,-2.96,-4.95,-7.026,154.9,35.47,45.56,Automobile,M&M,High
IOC,-2.48,38.3,-0.222,-0.235,-89.0,-0.028,-2.96,-5.0,-6.562,138.561,32.67,37.47,Energy,Indian Oil,High
COALINDIA,-4.61,29.81,-0.36,-0.528,-75.07,-0.061,-2.92,-4.13,0.066,4.27,36.07,34.14,Energy,Coal India,Medium
NTPC,-3.7,26.56,-0.368,-0.522,-67.2,-0.055,-2.54,-3.72,-0.334,5.634,32.0,34.23,Energy,NTPC,Medium
ONGC,-9.0,41.04,-0.376,-0.367,-95.88,-0.094,-2.91,-5.17,-9.825,281.24,45.05,33.31,Energy,ONGC,High
